,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude
3229150,-74.0081329346,40.7309913635,-73.9866333008,40.7340087891
3240285,-73.9780731201,40.7617301941,-73.783493042,40.6436805725
4966210,-73.9907989502,40.7381782532,-73.9820709229,40.7483406067
4977345,-74.0070724487,40.7288017273,-73.9856185913,40.7219696045
9464750,-73.9855957031,40.7782096863,-73.9679107666,40.7870750427
9475885,-74.001335144,40.7516136169,-73.9802703857,40.7532691956
10867760,-73.9791183472,40.764125824,-73.9743423462,40.7522354126
10878895,-73.9709777832,40.7862052917,-73.9555206299,40.7812576294
