,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude
1514360,-73.9508209229,40.7790985107,-73.9597167969,40.7709617615
1525495,-73.9786148071,40.7800064087,-74.004776001,40.7517700195
2627860,-73.8852462769,40.7730102539,-73.976600647,40.7350959778
2638995,-73.9823303223,40.7712440491,-73.9957275391,40.7215995789
6614190,-74.0088500977,40.713848114,-73.9941635132,40.7462387085
8507140,-73.952041626,40.7775993347,-73.9571762085,40.7742805481
